composition_id,title,composer,year,public_domain_status,source,verified_at
e6ef3606-ee1d-5b4c-92d2-f13dad8133f9,Creator Track 1,Artist 21,,no,Creator Music,2026-08-26T07:44:26.367554
722604c2-0e68-566d-8648-e8711759e0b0,Creator Track 2,Artist 24,,no,Creator Music,2026-08-26T07:44:26.368028
be35be42-e0aa-5461-8118-f94b65f75744,Creator Track 3,Artist 3,,no,Creator Music,2026-08-26T07:44:26.368342
d693bc09-5447-5cb7-8d82-90537c003961,Creator Track 4,Artist 17,,no,Creator Music,2026-08-26T07:44:26.368536
bb0f9449-3ab4-52b5-996a-7b92edbab51a,Creator Track 5,Artist 23,,no,Creator Music,2026-08-26T07:44:26.368719
35d7ef3b-d274-5066-9051-9a761098528f,Creator Track 6,Artist 9,,no,Creator Music,2026-08-26T07:44:26.368876
4af71fd9-37d0-5ce8-a529-459440463ea4,Creator Track 7,Artist 23,,no,Creator Music,2026-08-26T07:44:26.369032
0ea187ad-97e4-5a37-afd8-066a569a6595,Creator Track 8,Artist 3,,no,Creator Music,2026-08-26T07:44:26.369205
4cadb1dd-a1f0-5aeb-adf9-e407f1b66293,Creator Track 9,Artist 20,,no,Creator Music,2026-08-26T07:44:26.369366
72743433-9a2b-5792-a186-52a5ba4afc2b,Creator Track 10,Artist 18,,no,Creator Music,2026-08-26T07:44:26.369510
33ae8d25-1fb9-5356-9450-554ce2b9cc63,Creator Track 11,Artist 29,,no,Creator Music,2026-08-26T07:44:26.369655
0411fd06-cde5-537d-9680-0ff22b01ebf7,Creator Track 12,Artist 25,,no,Creator Music,2026-08-26T07:44:26.369780
5d8b4360-e7a3-505a-9aee-625f914046be,Creator Track 13,Artist 28,,no,Creator Music,2026-08-26T07:44:26.369899
e9d287f1-beb7-53ea-adc0-87dd566980db,Creator Track 14,Artist 12,,no,Creator Music,2026-08-26T07:44:26.370012
60e9fe51-097d-51dc-9020-a0d770fb9a3d,Creator Track 15,Artist 20,,no,Creator Music,2026-08-26T07:44:26.370137
77ff6d00-28d4-5d1a-b86f-3aaecdfae851,Creator Track 16,Artist 9,,no,Creator Music,2026-08-26T07:44:26.371531
10214c99-0dfd-56d2-9a69-54c38f590547,Creator Track 17,Artist 8,,no,Creator Music,2026-08-26T07:44:26.371728
83271ab9-aef2-5721-8a8a-3d9b58dc1f42,Creator Track 18,Artist 13,,no,Creator Music,2026-08-26T07:44:26.371888
2d05fb9e-81c8-5391-bca8-46bcb0a6103f,Creator Track 19,Artist 29,,no,Creator Music,2026-08-26T07:44:26.372037
a5ce79e2-bbc1-5d2b-b1c1-270a1b850331,Creator Track 20,Artist 5,,no,Creator Music,2026-08-26T07:44:26.372214
c4d4c546-2778-5b95-855a-610cb49a2e95,Creator Track 21,Artist 18,,no,Creator Music,2026-08-26T07:44:26.372367
157898a4-672e-5c39-9772-0e2cba6a0a60,Creator Track 22,Artist 5,,no,Creator Music,2026-08-26T07:44:26.372504
dc0e55e5-d16d-5f4d-9f59-dc2ef41b3515,Creator Track 23,Artist 28,,no,Creator Music,2026-08-26T07:44:26.372642
1596f86c-f638-5a53-bdd6-ff96eb15a10f,Creator Track 24,Artist 13,,no,Creator Music,2026-08-26T07:44:26.372762
ee5b3b53-a47e-5709-8ffd-408fdfcdc281,Creator Track 25,Artist 9,,no,Creator Music,2026-08-26T07:44:26.372882
41a35209-854b-52ff-92f1-63f1f105405e,Creator Track 26,Artist 25,,no,Creator Music,2026-08-26T07:44:26.373005
24d75d35-51e5-5778-a6fa-d652cab5fcc5,Creator Track 27,Artist 4,,no,Creator Music,2026-08-26T07:44:26.373143
945f07fa-1ef1-59dc-8db8-99464a25331b,Creator Track 28,Artist 17,,no,Creator Music,2026-08-26T07:44:26.373304
d03f7c4a-958e-582e-bcf6-e332b10b6b85,Creator Track 29,Artist 28,,no,Creator Music,2026-08-26T07:44:26.373441
9c5dd0aa-eefa-5087-99af-8fa946a8d338,Creator Track 30,Artist 25,,no,Creator Music,2026-08-26T07:44:26.373567
02fcbfe5-7dac-5994-bcf7-cbe0e2f071aa,Creator Track 31,Artist 30,,no,Creator Music,2026-08-26T07:44:26.373710
f3d73c3f-d8bc-53d4-a037-116ff4766a5c,Creator Track 32,Artist 29,,no,Creator Music,2026-08-26T07:44:26.373845
f9065636-3585-56c3-89ea-46830619341d,Creator Track 33,Artist 8,,no,Creator Music,2026-08-26T07:44:26.373974
1a9be4f9-2b91-5832-b938-2ce8a5d64d13,Creator Track 34,Artist 27,,no,Creator Music,2026-08-26T07:44:26.374105
